episode,r,l,is_success,dead_loop_events,wall_collision_count
341.0,-186.39999999999998,256.0,0.0,234.0,66.0
342.0,-207.80000000000007,256.0,0.0,194.0,49.0
343.0,-202.60000000000005,256.0,0.0,223.0,47.0
344.0,-195.0,256.0,0.0,229.0,58.0
345.0,-208.60000000000002,256.0,0.0,212.0,36.0
346.0,-216.19999999999993,256.0,0.0,228.0,47.0
347.0,-191.59999999999997,256.0,0.0,234.0,62.0
348.0,-213.0,256.0,0.0,229.0,47.0
349.0,-199.79999999999995,256.0,0.0,234.0,51.0
350.0,-193.19999999999993,256.0,0.0,234.0,58.0
351.0,-194.0,256.0,0.0,230.0,52.0
352.0,-227.79999999999998,256.0,0.0,199.0,38.0
353.0,-181.0,256.0,0.0,234.0,75.0
354.0,-208.19999999999993,256.0,0.0,217.0,45.0
355.0,-195.8,256.0,0.0,234.0,48.0
356.0,-194.8,256.0,0.0,182.0,53.0
357.0,-165.0,256.0,0.0,212.0,81.0
358.0,-185.4,256.0,0.0,228.0,68.0
359.0,-203.39999999999998,256.0,0.0,230.0,55.0
360.0,-196.8,256.0,0.0,222.0,58.0
361.0,-204.0,256.0,0.0,234.0,58.0
362.0,-214.99999999999994,256.0,0.0,234.0,41.0
363.0,-184.20000000000005,256.0,0.0,234.0,67.0
364.0,-199.0,256.0,0.0,204.0,57.0
365.0,-200.39999999999998,256.0,0.0,212.0,50.0
366.0,-198.39999999999998,256.0,0.0,204.0,56.0
367.0,-202.79999999999998,256.0,0.0,234.0,52.0
368.0,-202.00000000000003,256.0,0.0,234.0,48.0
369.0,-195.0,256.0,0.0,212.0,55.0
370.0,-203.4,256.0,0.0,225.0,42.0
371.0,-211.40000000000003,256.0,0.0,234.0,41.0
372.0,-212.60000000000002,256.0,0.0,234.0,51.0
373.0,-206.80000000000004,256.0,0.0,234.0,52.0
374.0,-202.0,256.0,0.0,204.0,45.0
375.0,-197.20000000000007,256.0,0.0,180.0,46.0
376.0,-205.00000000000009,256.0,0.0,211.0,47.0
377.0,-201.40000000000003,256.0,0.0,229.0,50.0
378.0,-195.60000000000002,256.0,0.0,234.0,58.0
379.0,-204.40000000000003,256.0,0.0,211.0,48.0
380.0,-211.99999999999997,256.0,0.0,202.0,44.0
381.0,-191.0,256.0,0.0,234.0,63.0
382.0,-206.8,256.0,0.0,209.0,44.0
383.0,-214.0,256.0,0.0,234.0,50.0
384.0,-215.2,256.0,0.0,234.0,58.0
385.0,-197.40000000000003,256.0,0.0,208.0,51.0
386.0,-186.60000000000002,256.0,0.0,232.0,67.0
387.0,-200.4,256.0,0.0,194.0,50.0
388.0,-205.0,256.0,0.0,221.0,46.0
389.0,-201.8,256.0,0.0,234.0,55.0
390.0,-216.0,256.0,0.0,220.0,45.0
391.0,-195.39999999999998,256.0,0.0,234.0,55.0
392.0,-217.1999999999999,256.0,0.0,179.0,48.0
393.0,-185.8,256.0,0.0,213.0,63.0
394.0,-189.6,256.0,0.0,229.0,68.0
395.0,-197.60000000000002,256.0,0.0,234.0,56.0
396.0,-189.4,256.0,0.0,223.0,57.0
397.0,-195.40000000000003,256.0,0.0,220.0,63.0
398.0,-197.2,256.0,0.0,234.0,65.0
399.0,-198.0,256.0,0.0,221.0,48.0
400.0,-192.8,256.0,0.0,234.0,62.0
401.0,-193.79999999999995,256.0,0.0,213.0,51.0
402.0,-188.79999999999998,256.0,0.0,227.0,59.0
403.0,-229.2,256.0,0.0,234.0,38.0
404.0,-202.59999999999997,256.0,0.0,231.0,52.0
405.0,-191.60000000000005,256.0,0.0,234.0,60.0
406.0,-205.0,256.0,0.0,234.0,56.0
407.0,-196.39999999999998,256.0,0.0,224.0,51.0
408.0,-218.79999999999998,256.0,0.0,213.0,30.0
409.0,-214.0,256.0,0.0,233.0,38.0
410.0,-212.8,256.0,0.0,234.0,50.0
411.0,-215.8,256.0,0.0,234.0,47.0
412.0,-197.99999999999994,256.0,0.0,234.0,58.0
413.0,-209.00000000000003,256.0,0.0,220.0,48.0
414.0,-204.0,256.0,0.0,234.0,52.0
415.0,-212.40000000000003,256.0,0.0,185.0,42.0
416.0,-213.59999999999997,256.0,0.0,234.0,42.0
417.0,-199.20000000000007,256.0,0.0,209.0,44.0
418.0,-184.60000000000005,256.0,0.0,234.0,60.0
419.0,-199.60000000000002,256.0,0.0,209.0,48.0
420.0,-197.0,256.0,0.0,224.0,59.0
421.0,-202.4,256.0,0.0,183.0,44.0
422.0,-211.0,256.0,0.0,211.0,47.0
423.0,-211.00000000000006,256.0,0.0,222.0,47.0
424.0,-219.79999999999998,256.0,0.0,194.0,51.0
425.0,-199.00000000000003,256.0,0.0,234.0,46.0
426.0,-220.0,256.0,0.0,215.0,49.0
427.0,-214.0,256.0,0.0,222.0,44.0
428.0,-184.00000000000003,256.0,0.0,234.0,65.0
429.0,-206.2,256.0,0.0,210.0,53.0
