time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/fps,time/iterations,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/explained_variance,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,phase,phase_learning_rate_start,phase_learning_rate_end
1187,256.0,317440,0.0,-2.7,267,155,0.0,0.0987983126848121,-6.154851416795282e-05,0.2,0.0006431341171264,0.0,0.0743433833122253,3.707828000187874e-09,0.0002211519999999,1540.0,1,0.0003,5e-05
1194,256.0,319488,0.0,-2.72,267,156,0.0,0.1362180259660817,-6.240452839847421e-05,0.2,0.1761515736579895,0.0,0.0029061348177492,1.9092112779617308e-09,0.0002206399999999,1550.0,1,0.0003,5e-05
1201,256.0,321536,0.0,-2.58,267,157,0.0,0.1045684590397286,-6.292217740337947e-05,0.2,0.3996440172195434,0.0,0.0493522807955741,5.611218512058258e-09,0.0002201279999999,1560.0,1,0.0003,5e-05
1208,256.0,323584,0.0,-2.68,267,158,0.0,0.0627556936065957,-6.288260765359155e-05,0.2,0.4743223190307617,0.0,0.000654412433505,4.200846888124943e-08,0.0002196159999999,1570.0,1,0.0003,5e-05
1215,256.0,325632,0.0,-2.7,267,159,0.0,0.1134772587007319,-6.319909116427879e-05,0.2,0.0576932430267334,0.0,0.100814551115036,-1.955777406692505e-09,0.0002191039999999,1580.0,1,0.0003,5e-05
1222,256.0,327680,0.0,-2.62,267,160,0.0,0.0372186432097805,-6.373054739015061e-05,0.2,0.1495078206062317,0.0,0.0464636050164699,-8.603092283010483e-09,0.0002185919999999,1590.0,1,0.0003,5e-05
1229,256.0,329728,0.0,-2.56,268,161,0.0,0.1750405755403335,-6.426041836675722e-05,0.2,-0.0078879594802856,0.0,0.0699333846569061,-3.667082637548446e-10,0.0002180799999999,1600.0,1,0.0003,5e-05
1236,256.0,331776,0.0,-2.52,268,162,0.0,0.0773557357311801,-6.517896090372233e-05,0.2,0.0914363861083984,0.0,0.1446065902709961,4.0745362639427176e-11,0.0002175679999999,1610.0,1,0.0003,5e-05
1243,256.0,333824,0.0,-2.62,268,163,0.0,0.040580250545463,-6.563171855304973e-05,0.2,0.3975778818130493,0.0,0.0001479583152104,-1.2332748156040907e-09,0.0002170559999999,1620.0,1,0.0003,5e-05
1251,256.0,335872,0.0,-2.48,268,164,0.0,0.0967183525353903,-6.653126374658313e-05,0.2,0.159322440624237,0.0,0.102539986371994,-1.769512891769409e-09,0.0002165439999999,1630.0,1,0.0003,5e-05
1258,256.0,337920,0.0,-2.46,268,165,0.0,0.0254566073635942,-6.688305156785646e-05,0.2,0.6839780807495117,0.0,0.0023011772427707,-8.073402568697929e-09,0.0002160319999999,1640.0,1,0.0003,5e-05
1265,256.0,339968,0.0,-2.36,268,166,0.0,0.0869829341274453,-6.706288486384438e-05,0.2,0.0502331852912902,0.0,0.0245031416416168,5.980837158858775e-10,0.0002155199999999,1650.0,1,0.0003,5e-05
