time/total_timesteps,train/loss,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/n_updates,phase
739328,0.5431198477745056,7.450580596923829e-10,0.6290752504224656,-0.000104260383614,3600.0,1
741376,0.0035546501167118,2.5844201445579532e-09,0.132440143515123,-9.937404838638033e-05,3610.0,1
743424,0.1920912861824035,-2.4185283109545708e-08,0.1250376290605345,-0.00011900442978,3620.0,1
745472,0.0027595020364969,-7.792841643095016e-08,0.0576537259159522,-0.0001200823067847,3630.0,1
747520,0.0007144605624489,-4.3929321691393855e-08,0.1173561318064457,-0.0001093947463232,3640.0,1
749568,0.0891491770744323,2.8987415134906772e-08,0.1732950877412804,-0.0001285052043385,3650.0,1
751616,0.1042576283216476,-2.3090397007763386e-07,0.0268181008357714,-0.000130792368327,3660.0,1
753664,0.2915709316730499,-1.8131686374545097e-08,0.1614142561811604,-0.000157104856953,3670.0,1
755712,0.0550170056521892,-2.8393696993589402e-08,0.3066426365097868,-0.0001589788416822,3680.0,1
757760,0.000153542656335,-8.580973371863365e-08,0.0563130570080829,-0.0001492110628532,3690.0,1
759808,0.0069570634514093,-1.5477417036890986e-07,0.0280492101444906,-0.0001577909655679,3700.0,1
761856,0.0001013328073895,-1.9387807697057725e-07,0.0029735793150393,-0.0001455927120332,3710.0,1
763904,0.1130591705441474,6.868503987789153e-10,0.321615154389292,-0.0001712881681669,3720.0,1
765952,0.4437340795993805,-4.620174877345562e-07,0.5796266744553578,-0.0001793511139112,3730.0,1
768000,0.0017952588386833,-3.233784809708596e-07,0.0297268820788303,-0.0001910298991788,3740.0,1
770048,0.0017423977842554,-4.024244844913483e-07,0.1478037165943533,-0.0002048763106358,3750.0,1
772096,0.0022811412345618,-4.265340976417065e-07,0.2079209018324036,-0.0002986134313687,3760.0,1
774144,0.0012224641395732,-2.4838489480316637e-06,0.0025348924117679,-0.0003663555613456,3770.0,1
776192,0.0009051815140992,-1.0218372335657477e-05,0.0295335687431361,-0.0010280303838953,3780.0,1
778240,-0.0171236284077167,-0.0010905886825639,0.1354469033118221,-0.0144252859579864,3790.0,1
780288,0.7996459603309631,-0.0027707854751497,1.606712044030428,-0.0764194380957633,3800.0,1
782336,0.8106445670127869,-0.0034689513442572,1.1916284441947935,-0.0347504341974854,3810.0,1
784384,0.143875241279602,-0.0027059170533902,0.2105579360388219,-0.038592771301046,3820.0,1
786432,0.3581999540328979,-0.005614432611037,1.5621393606066705,-0.0424141785129904,3830.0,1
788480,0.4040567874908447,-0.0030451869359239,1.3942792516201734,-0.0215246092528104,3840.0,1
790528,0.0062102312222123,-0.0011779185384511,0.045652117015561,-0.0044395747681846,3850.0,1
792576,0.0007139740046113,-0.0008459555392619,0.346243825921556,-0.0080113256175536,3860.0,1
794624,0.0071876961737871,-0.0014258377428632,0.0263764142233412,-0.0058986812189687,3870.0,1
796672,0.0009430724894627,-0.0005446775758173,0.0805176968395244,-0.0029531817650422,3880.0,1
798720,0.0027305723633617,-0.0005660060618538,0.0111526762266294,-0.0015105308200872,3890.0,1
800768,0.0020846920087933,-9.572424460202455e-07,0.1161701894016005,-0.0008399333033594,3900.0,1
802816,0.0015334922354668,-1.1695490684360266e-06,0.0024166684244846,-0.0006511493709695,3910.0,1
804864,0.0909057557582855,-4.46958583779633e-06,0.1393510739944758,-0.0009826597437495,3920.0,1
806912,0.0002367662382312,-9.06463828869164e-06,0.0293574516948865,-0.0009438513014174,3930.0,1
808960,0.1997394561767578,7.746275514364242e-08,0.4741873697537812,-0.0005881510987819,3940.0,1
811008,0.0018245477695018,9.089126251637936e-09,0.091637146283756,-0.0005088444420835,3950.0,1
813056,0.00122894521337,-7.629388710483909e-05,0.5767673023801763,-0.0010174594855925,3960.0,1
815104,0.0001498449710197,-1.278403215110302e-06,0.0068306810888316,-0.0006158388656331,3970.0,1
817152,0.1200821250677108,-3.426976036280393e-09,0.1440745851456085,-0.0006755317415809,3980.0,1
819200,0.0033724699169397,-4.994217306375503e-09,0.0333930443550343,-0.0005297616757161,3990.0,1
821248,0.4479345977306366,-4.7794310376048096e-08,0.2812742730540776,-0.0008782692799286,4000.0,1
823296,0.0002926329616457,-8.416885975748301e-07,0.0325133449367058,-0.0008740684061194,4010.0,1
825344,0.1779785901308059,-3.128661774098873e-08,0.1869391740110586,-0.0007197500242909,4020.0,1
827392,0.257432758808136,-2.5827030185610057e-07,0.0673561525075456,-0.0006524590564367,4030.0,1
829440,-0.0038216793909668,-0.000865997915389,0.0350147790071787,-0.0004994966151571,4040.0,1
831488,0.002084320411086,-6.242189556360245e-08,0.0533552162281921,-0.0005887476196221,4050.0,1
833536,0.0005865522543899,-2.9336661100387573e-08,0.0012789122228696,-0.0004362000367109,4060.0,1
835584,0.2613373100757599,-4.443287616595626e-05,0.6302302434050944,-0.0004315442161896,4070.0,1
837632,0.0708256289362907,-1.5570549294352531e-09,0.0658381211276719,-0.0003844158640276,4080.0,1
