rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/explained_variance,train/clip_range,train/learning_rate,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates,train/loss,phase,phase_learning_rate_start,phase_learning_rate_end
-1.212,256,712704,2774,256.0,0.0,348,0.3720199465751648,0.2,0.000122336,-0.0001495321892434,0.0368578943649481,0.0,0.0,2.1187588572502135e-09,3470.0,0.0049486709758639,1,0.0003,5e-05
-1.2919999999999998,256,714752,2781,256.0,0.0,349,0.6880221366882324,0.2,0.0001218239999999,-0.0001480837134295,0.0323374932529986,0.0,0.0,7.764901965856552e-09,3480.0,0.0010145095875486,1,0.0003,5e-05
-1.3360000000000003,257,716800,2788,256.0,0.0,350,0.6328132748603821,0.2,0.0001213119999999,-0.0001548510623251,0.1846588160973624,0.0,0.0,2.578599378466606e-09,3490.0,0.2916819453239441,1,0.0003,5e-05
-1.192,257,718848,2796,256.0,0.0,351,0.0921531319618225,0.2,0.0001207999999999,-0.0001610595483725,0.1326941190169236,0.0,0.0,-9.71485860645771e-09,3500.0,0.0016742032021284,1,0.0003,5e-05
-1.078,257,720896,2803,256.0,0.0,352,0.6540240049362183,0.2,0.0001202879999999,-0.0001575430327648,0.1468949468864593,0.0,0.0,-1.3620592653751372e-08,3510.0,0.0070534241385757,1,0.0003,5e-05
-1.142,257,722944,2810,256.0,0.0,353,0.1892211437225341,0.2,0.0001197759999999,-0.0001652898192332,0.0312236291776571,0.0,0.0,-6.74976035952568e-08,3520.0,0.0063177929259836,1,0.0003,5e-05
-1.354,257,724992,2817,256.0,0.0,354,0.4888146519660949,0.2,0.0001192639999999,-0.0001620408014787,0.3489912964461837,0.0,0.0,-1.5931436792016032e-08,3530.0,0.2981224060058594,1,0.0003,5e-05
-1.5060000000000002,257,727040,2824,256.0,0.0,355,0.026954710483551,0.2,0.0001187519999999,-0.0001712495606625,0.590442268375773,0.0,0.0,3.7136487662792204e-09,3540.0,1.7182910442352295,1,0.0003,5e-05
-1.308,257,729088,2831,256.0,0.0,356,0.5477308034896851,0.2,0.0001182399999999,-0.0001666932070293,0.107436904316637,0.0,0.0,8.243368938565254e-08,3550.0,0.0050724549219012,1,0.0003,5e-05
-1.1860000000000002,257,731136,2838,256.0,0.0,357,0.5464638471603394,0.2,0.000117728,-0.0001732455582896,0.0837680121203447,0.0,0.0,2.0023435354232787e-09,3560.0,0.0006627615657635,1,0.0003,5e-05
-1.3500000000000003,257,733184,2845,256.0,0.0,358,0.0833200812339782,0.2,0.0001172159999999,-0.0001787716839316,0.1180027028585755,0.0,0.0,-4.959292709827423e-09,3570.0,0.1385546624660492,1,0.0003,5e-05
-1.35,257,735232,2853,256.0,0.0,359,0.2803504467010498,0.2,0.000116704,-0.0001844132635596,0.322147876190138,0.0,-7.188646e-09,6.647314876317978e-09,3580.0,0.100795529782772,1,0.0003,5e-05
-1.4340000000000004,257,737280,2860,256.0,0.0,360,0.5485495328903198,0.2,0.0001161919999999,-0.0001869651885499,0.0957478452211944,0.0,0.0,3.055902197957039e-09,3590.0,0.1138514205813407,1,0.0003,5e-05
-1.43,257,739328,2867,256.0,0.0,361,0.6027647256851196,0.2,0.0001156799999999,-0.0001920328679261,0.0718411252215446,0.0,0.0,-1.441367203369737e-07,3600.0,0.0026397346518933,1,0.0003,5e-05
-1.5620000000000005,257,741376,2874,256.0,0.0,362,0.6487038731575012,0.2,0.0001151679999999,-0.0002043249556663,0.0296519867127244,0.0,0.0,1.4546385500580073e-07,3610.0,0.0001750826777424,1,0.0003,5e-05
-1.5360000000000005,257,743424,2881,256.0,0.0,363,0.0253392457962036,0.2,0.0001146559999999,-0.000211310044142,0.1780934768274164,0.0,0.0,-1.2433156371116638e-08,3620.0,0.214285671710968,1,0.0003,5e-05
-1.5120000000000002,258,745472,2888,256.0,0.0,364,0.5165277719497681,0.2,0.000114144,-0.0002172953360059,0.0528383075154124,0.0,0.0,-6.152549758553505e-09,3630.0,0.0019210027530789,1,0.0003,5e-05
-1.908,258,747520,2895,256.0,0.0,365,0.5989725589752197,0.2,0.0001136319999999,-0.0002293348134116,0.0268705556422901,0.0,-2.9802322e-08,-6.023910827934744e-08,3640.0,7.719729183008894e-05,1,0.0003,5e-05
-1.7180000000000002,258,749568,2903,256.0,0.0,366,0.0825084447860717,0.2,0.00011312,-0.0002339734475754,0.6100841840037902,0.0,-7.479684e-09,-4.9558002501726156e-08,3650.0,0.8039107918739319,1,0.0003,5e-05
-1.4940000000000004,258,751616,2910,256.0,0.0,367,0.4131353497505188,0.2,0.0001126079999999,-0.000247446967478,0.0535982453067845,0.0,-2.73576e-09,-2.156011760234833e-08,3660.0,0.0788068249821662,1,0.0003,5e-05
-1.564,258,753664,2917,256.0,0.0,368,0.3301688432693481,0.2,0.000112096,-0.0002646879052917,0.0794185829975504,0.0,-1.3009412e-08,2.5954796001315116e-08,3670.0,0.0002805856638588,1,0.0003,5e-05
-1.6340000000000003,258,755712,2924,256.0,0.0,369,0.1144933104515075,0.2,0.000111584,-0.0002817974083882,0.2387512102744949,0.0,0.0,2.9103830456733704e-11,3680.0,0.2950066030025482,1,0.0003,5e-05
-1.4000000000000004,258,757760,2932,256.0,0.0,370,0.1514819264411926,0.2,0.0001110719999999,-0.0002743364620982,0.4703346554480959,0.0,0.0,-6.53788447380066e-08,3690.0,0.0033435439690947,1,0.0003,5e-05
-1.34,258,759808,2939,256.0,0.0,371,0.7740890979766846,0.2,0.00011056,-0.0002823476464982,0.0316737140517943,0.0,-2.9773219e-08,-2.302753273397684e-07,3700.0,0.0005402253009378,1,0.0003,5e-05
-1.2519999999999996,258,761856,2946,256.0,0.0,372,0.9473162293434144,0.2,0.0001100479999999,-0.0003241735157644,0.0019050977829465,0.0,-1.702574e-08,-1.6498379409313202e-07,3710.0,0.0011106855235993,1,0.0003,5e-05
-1.19,258,763904,2953,256.0,0.0,373,0.4066722393035888,0.2,0.000109536,-0.0003610750121879,0.1135886730313359,0.0,-1.6851118e-08,-9.408686310052872e-08,3720.0,0.0560880005359649,1,0.0003,5e-05
