time/total_timesteps,time/time_elapsed,rollout/success_rate,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/learning_rate,train/policy_gradient_loss,phase,phase_learning_rate_start,phase_learning_rate_end
813056,3311,0.0,397,-1.6380000000000003,245,256.0,0.0,-0.0002124629563695,3960.0,0.1175630688667297,0.2,0.0,0.0573002067530978,0.0002246621734229,9.7248e-05,6.899063009768724e-08,1,0.0003,5e-05
815104,3320,0.0,398,-1.6340000000000006,245,256.0,0.0,-0.0002178218061089,3970.0,0.3008573651313782,0.2,0.0,0.0797718066969537,0.0004639604594558,9.6736e-05,-2.3213215172290806e-08,1,0.0003,5e-05
817152,3328,0.0,399,-1.7480000000000002,245,256.0,0.0,-0.0002298953961144,3980.0,0.2809645533561706,0.2,0.0,0.0798245772892187,0.0004267999902367,9.622399999999998e-05,-2.971501089632511e-08,1,0.0003,5e-05
819200,3336,0.0,400,-1.7480000000000004,245,256.0,0.0,-0.0002361299078984,3990.0,0.5679184794425964,0.2,0.0,0.2457916710613062,0.1655431091785431,9.5712e-05,3.00002284348011e-08,1,0.0003,5e-05
821248,3345,0.0,401,-1.2380000000000002,245,256.0,-5.820766e-11,-0.000239679972401,4000.0,0.5089302062988281,0.2,0.0,0.0318817435915661,0.0013930337736383,9.519999999999998e-05,9.901123121380806e-09,1,0.0003,5e-05
823296,3353,0.0,402,-1.078,245,256.0,-1.5716068e-09,-0.0002473463107889,4010.0,-0.2093890905380249,0.2,0.0,0.0850134859894751,0.0014802287332713,9.4688e-05,-9.604264050722122e-09,1,0.0003,5e-05
825344,3361,0.0,403,-1.138,245,256.0,-1.4784746e-08,-0.0002634873853821,4020.0,0.269416332244873,0.2,0.0,0.0603375411730667,0.0010282220318913,9.4176e-05,-6.146728992462158e-09,1,0.0003,5e-05
827392,3370,0.0,404,-1.018,245,256.0,-3.457535e-08,-0.0002722715253185,4030.0,0.0588142871856689,0.2,0.0,0.2392592075804714,0.3070651888847351,9.3664e-05,8.707866072654724e-09,1,0.0003,5e-05
829440,3378,0.0,405,-1.012,245,256.0,-4.4790795e-08,-0.0002876329603168,4040.0,0.4067943692207336,0.2,0.0,0.010227848458453,0.0020583355799317,9.3152e-05,1.2188684195280075e-08,1,0.0003,5e-05
831488,3386,0.0,406,-1.06,245,256.0,-5.9604645e-08,-0.0003033133114513,4050.0,0.1342715620994568,0.2,0.0,0.0480492893433165,0.0002934045041911,9.264e-05,5.029141902923584e-09,1,0.0003,5e-05
833536,3394,0.0,407,-1.3159999999999998,245,256.0,-3.9872248e-08,-0.0003350634920934,4060.0,0.1056534647941589,0.2,0.0,0.2198144821828464,0.1189391762018203,9.2128e-05,-4.720641300082206e-09,1,0.0003,5e-05
835584,3403,0.0,408,-1.5520000000000005,245,256.0,0.0,-0.0003521610000461,4070.0,0.6342193484306335,0.2,0.0,0.1253898548056895,0.0021656397730112,9.161599999999998e-05,1.635635271668434e-08,1,0.0003,5e-05
837632,3411,0.0,409,-1.6640000000000004,245,256.0,0.0,-0.0003538568438671,4080.0,0.5933587551116943,0.2,0.0,0.1047087450002436,0.0016826572827994,9.1104e-05,1.19674950838089e-08,1,0.0003,5e-05
839680,3419,0.0,410,-1.6020000000000003,245,256.0,0.0,-0.0003630205410445,4090.0,0.1917201280593872,0.2,0.0,0.7984477038407931,0.6652343273162842,9.0592e-05,1.1199153959751131e-08,1,0.0003,5e-05
841728,3428,0.0,411,-1.2920000000000005,245,256.0,3.823804e-05,-0.0002745674457401,4100.0,0.8846297264099121,0.2,0.000390625,0.0271855220998986,0.0043524838984012,9.008e-05,-0.0005600180826149,1,0.0003,5e-05
843776,3436,0.0,412,-1.3620000000000003,245,256.0,0.0,-0.0002630397866596,4110.0,0.5558419227600098,0.2,0.0,0.0561407514447637,0.0034314093645662,8.9568e-05,1.7974525690078736e-08,1,0.0003,5e-05
845824,3444,0.0,413,-1.6020000000000003,245,256.0,0.0,-0.0002680470934137,4120.0,0.1812565326690673,0.2,0.0,0.0615579049561347,0.0006597712635993,8.905600000000001e-05,-2.3859320208430292e-08,1,0.0003,5e-05
847872,3453,0.0,414,-1.4720000000000002,245,256.0,0.0,-0.000274538314261,4130.0,0.5018653869628906,0.2,0.0,0.1795236024116093,0.0014523081481456,8.8544e-05,2.9976945370435715e-09,1,0.0003,5e-05
