time/total_timesteps,train/entropy_loss,train/value_loss,train/loss,train/n_updates,train/policy_gradient_loss,phase
425984,-0.0001060462027453,0.1051464380463585,0.1276221573352813,2070.0,1.200241968035698e-08,1
428032,-9.972441093850649e-05,0.0473843107305583,0.0005966327735222,2080.0,-4.9389200285077095e-08,1
430080,-0.0001241537818714,0.0525843252158665,0.0551463104784488,2090.0,-5.0407834351062775e-08,1
432128,-0.0001387671912198,0.0766099430526082,0.0590770542621612,2100.0,-7.879803888499737e-07,1
434176,-0.0001804346935387,0.1673216523369774,0.1575523465871811,2110.0,-1.636450178921223e-07,1
436224,-0.0002606345226013,0.129556573042646,0.0833868905901908,2120.0,-2.055428922176361e-07,1
438272,-0.0003271541034337,0.1731178487214492,0.0274901986122131,2130.0,-3.837572876363993e-07,1
440320,-0.0005093418782053,0.1586147033143788,0.0671620741486549,2140.0,-2.573709934949875e-07,1
442368,-0.0005545787640585,0.0592522224473214,0.0002183012838941,2150.0,-8.53673554956913e-07,1
444416,-0.0008280218018626,0.4381775814574212,0.3236455023288727,2160.0,-1.230661291629076e-06,1
446464,-0.0015891541188466,0.3415175143163651,0.0445372611284256,2170.0,-1.2189557310193775e-06,1
448512,-0.0288166099984664,0.1919809561979491,0.0524984300136566,2180.0,-0.0003608526254538,1
450560,-0.3037730013951659,11.65831053853035,3.7607614994049072,2190.0,0.0080892001511529,1
452608,-0.2327755061909556,9.20204605460167,3.353097677230835,2200.0,-0.0099413715302944,1
454656,-0.1486587320454418,4.00189169049263,1.3971494436264038,2210.0,-0.0090834852773696,1
456704,-0.0654675384052097,2.0912682145833967,0.5882996916770935,2220.0,-0.0044729613931849,1
458752,-0.0623163719195872,1.4228160008788109,0.7000061273574829,2230.0,-0.0043064161378424,1
460800,-0.0333819782827049,1.357170618325472,0.6787511706352234,2240.0,-0.0023107548127882,1
462848,-0.0108494564308784,0.4141007449477911,0.1004829779267311,2250.0,-0.0016156241646967,1
464896,-0.0488391760736703,0.7272764917463064,0.3374772369861603,2260.0,-0.0036439921415876,1
466944,-0.0187369092251174,0.6283336956053972,0.1614774763584137,2270.0,-0.0029900714813265,1
468992,-0.0140157472458668,0.455609381571412,0.1538089364767074,2280.0,-0.0013693587912712,1
